vendor_code,name,brand,series,color,backset,center_distance,package_type,purpose,mounting_type,bolt_type,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material
"Замок врезной сувальдный Avers T-47_S6-CR (w_o BP,","Замок врезной сувальдный Avers T-47/S6-CR (w/o BP, w/o DP, 4 keys, shank 75mm)",Avers,47/,CR,60 мм,,Коробка,Общее,Лицевая планка,Цилиндрические,3,26 мм,14 мм,Сувальдный с двойной бородкой,,4 шт,,,
Замок врезной Apecs 30-R-CR,Замок врезной Apecs 30-R-CR,Apecs,30,CR,50 мм,,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 2200_70-G,Замок врезной Apecs 2200/70-G,Apecs,2200/70,G,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,35/35 мм,Латунь
Замок врезной Apecs 1523_60-AB,Замок врезной Apecs 1523/60-AB,Apecs,1523/60,AB,45 мм,70 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs T-0523-C-AB-L,Замок врезной Apecs T-0523-C-AB-L,Apecs,0523,AB,60 мм,80 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,24 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 7000-30-NI,Замок врезной Apecs 7000-30-NI,Apecs,7000,NI,30 мм,92 мм,Пакет,Двери из ПВХ профиля,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
"Замок врезной сувальдный Avers T-52_S8-CR (w_o BP,","Замок врезной сувальдный Avers T-52/S8-CR (w/o BP, w/o DP, 4 keys, shank 75mm)",Avers,52/,CR,60 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,36 мм,16 мм,Сувальдный с двойной бородкой,,4 шт,,,
Замок врезной Apecs 7000-40-R-NI,Замок врезной Apecs 7000-40-R-NI,Apecs,7000,NI,40 мм,,Пакет,Узкопрофильные двери,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 2223_60-G,Замок врезной Apecs 2223/60-G,Apecs,2223/60,G,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Avers 2226_70-AB,Замок врезной Avers 2226/70-AB,Avers,2226/70,AB,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,35/35 мм,ЦАМ
Замок врезной Avers 0827_60-AC,Замок врезной Avers 0827/60-AC,Avers,0827/60,AC,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Apecs T-0523-C-G-L,Замок врезной Apecs T-0523-C-G-L,Apecs,0523,G,60 мм,80 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,24 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs T-0523-C-CR-L,Замок врезной Apecs T-0523-C-CR-L,Apecs,0523,CR,60 мм,80 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,24 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs T-0523-C-AB-R,Замок врезной Apecs T-0523-C-AB-R,Apecs,0523,AB,60 мм,80 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,24 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной противопожарный Apecs 2000-Panic-ZN,Замок врезной противопожарный Apecs 2000-Panic-ZN,Apecs,2000,,65 мм,72 мм,Пакет,Противопожарный,Винты,Классический/Прямоугольный,,25 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs T-05-CR,Замок врезной Apecs T-05-CR,Apecs,05,CR,60 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,4,24 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 91_60-CR,Замок врезной Apecs 91/60-CR,Apecs,91/60,CR,50 мм,,Коробка,Общее,Лицевая планка,Цилиндрические,3,30 мм,14 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Avers 1223_60-AC,Замок врезной Avers 1223/60-AC,Avers,1223/60,AC,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной Apecs 1027_60-NI_NIS,Замок врезной Apecs 1027/60-NI/NIS,Apecs,1027/60,NI,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Avers 1611_70-CR,Замок врезной Avers 1611/70-CR,Avers,1611/70,CR,55 мм,55 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,22 мм,,Цилиндровый,Английский,4 шт,Комплектуется,35/35 мм,ЦАМ
Замок врезной Apecs 1330_60-CR,Замок врезной Apecs 1330/60-CR,Apecs,1330/60,CR,40 мм,80 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Avers T-0523-C-CR-R,Замок врезной Avers T-0523-C-CR-R,Avers,0523,CR,60 мм,80 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,25 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 99-K-CR,Замок врезной Apecs 99-K-CR,Apecs,99,CR,50 мм,,Коробка,Общее,Лицевая планка,Цилиндрические,4,28.5 мм,12 мм,Цилиндровый,,,,,
Замок врезной Apecs 2600-CR,Замок врезной Apecs 2600-CR,Apecs,2600,CR,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 0827_60-C-AC,Замок врезной Avers 0827/60-C-AC,Avers,0827/60,AC,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Avers 0827_60-C-NI,Замок врезной Avers 0827/60-C-NI,Avers,0827/60,NI,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Avers 0823_60-C-AC,Замок врезной Avers 0823/60-C-AC,Avers,0823/60,AC,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной противопожарный Apecs 2001-Panic-ZN ,Замок врезной противопожарный Apecs 2001-Panic-ZN (with DB set),Apecs,2001,,65 мм,0 мм,Коробка,Противопожарный,Винты,Реверсивный взводной,,25 мм,,Без механизма секретности,,,,,
Замок врезной Avers 0823_60-C-AB,Замок врезной Avers 0823/60-C-AB,Avers,0823/60,AB,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Apecs 1623-CR,Замок врезной Apecs 1623-CR,Apecs,1623,CR,55 мм,55 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 71-K-CR,Замок врезной Apecs 71-K-CR,Apecs,71,CR,20 мм,,Коробка,Узкопрофильные двери,Лицевая планка,Классический/Прямоугольный,,23 мм,,Цилиндровый,,5 шт,,,
Замок врезной Apecs 7300-20-NIS,Замок врезной Apecs 7300-20-NIS,Apecs,7300,NI,20 мм,85 мм,Пакет,Двери из алюминиевого профиля,Лицевая планка,Классический/Прямоугольный,,15 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 7000-35-R-NI,Замок врезной Apecs 7000-35-R-NI,Apecs,7000,NI,35 мм,,Пакет,Двери из ПВХ профиля,Лицевая планка,Классический/Прямоугольный,,25 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1226_60-G,Замок врезной Apecs 1226/60-G,Apecs,1226/60,G,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
