vendor_code,name,brand,series,color,backset,center_distance,package_type,purpose,mounting_type,bolt_type,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material
Замок врезной Apecs 2200_60-CR,Замок врезной Apecs 2200/60-CR,Apecs,2200/60,CR,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 7000-45-NI,Замок врезной Apecs 7000-45-NI,Apecs,7000,NI,45 мм,92 мм,Пакет,Двери из ПВХ профиля,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 0823_60-AB,Замок врезной Avers 0823/60-AB,Avers,0823/60,AB,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Avers 1223_60-AB,Замок врезной Avers 1223/60-AB,Avers,1223/60,AB,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной Apecs 1223_60-AC,Замок врезной Apecs 1223/60-AC,Apecs,1223/60,AC,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 2227_60-G_GM,Замок врезной Apecs 2227/60-G/GM,Apecs,2227/60,G,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1523_60-CR,Замок врезной Apecs 1523/60-CR,Apecs,1523/60,CR,45 мм,70 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1227_60-AB,Замок врезной Apecs 1227/60-AB,Apecs,1227/60,AB,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 7000-25-NI,Замок врезной Apecs 7000-25-NI,Apecs,7000,NI,25 мм,92 мм,Пакет,Двери из ПВХ профиля,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1226_60-CR,Замок врезной Apecs 1226/60-CR,Apecs,1226/60,CR,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 2227_60-NI_NIS,Замок врезной Apecs 2227/60-NI/NIS,Apecs,2227/60,NI,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1026_60-CR,Замок врезной Apecs 1026/60-CR,Apecs,1026/60,CR,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1527_60-NI_NIS,Замок врезной Apecs 1527/60-NI/NIS,Apecs,1527/60,NI,45 мм,70 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1223_60-CR,Замок врезной Apecs 1223/60-CR,Apecs,1223/60,CR,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1223_60-AB,Замок врезной Apecs 1223/60-AB,Apecs,1223/60,AB,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
"Замок врезной Apecs T-52-CR (w_o BP, w_o DP)","Замок врезной Apecs T-52-CR (w/o BP, w/o DP)",Apecs,52,CR,60 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,24 мм,16 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 2210_60-G,Замок врезной Avers 2210/60-G,Avers,2210/60,G,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной Apecs 1601-CR,Замок врезной Apecs 1601-CR,Apecs,1601,CR,55 мм,55 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 7600-25-R-NI,Замок врезной Apecs 7600-25-R-NI,Apecs,7600,NI,25 мм,,Пакет,Двери из алюминиевого профиля,Лицевая планка,Падающий,,23 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1423-AB,Замок врезной Apecs 1423-AB,Apecs,1423,AB,55 мм,58.5 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1000_60-G,Замок врезной Apecs 1000/60-G,Apecs,1000/60,G,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1323_60-AB,Замок врезной Apecs 1323/60-AB,Apecs,1323/60,AB,40 мм,80 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной противопожарный Avers 2000-ZN-RE (B2,Замок врезной противопожарный Avers 2000-ZN-RE (B2B),Avers,2000,,65 мм,72 мм,Пакет,Противопожарный,Винты,Классический/Прямоугольный,,14 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 7300-35-R-NIS,Замок врезной Apecs 7300-35-R-NIS,Apecs,7300,NI,35 мм,,Пакет,Двери из алюминиевого профиля,Лицевая планка,Классический/Прямоугольный,,15 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 1523_60-CR,Замок врезной Avers 1523/60-CR,Avers,1523/60,CR,45 мм,70 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной противопожарный Apecs 8300-INOX (B2B,Замок врезной противопожарный Apecs 8300-INOX (B2B),Apecs,8300,,55 мм,72 мм,Пакет,Противопожарный,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1330_60-AC,Замок врезной Apecs 1330/60-AC,Apecs,1330/60,AC,40 мм,80 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной сувальдный Avers ЗВ9-4-1-4 (белый),Замок врезной сувальдный Avers ЗВ9-4-1-4 (белый),Avers,9,,55 мм,55 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,23 мм,12 мм,Сувальдный с двойной бородкой,,3 шт,,,
"Замок врезной Avers T-32-CR (w_o BP, w_o DP)","Замок врезной Avers T-32-CR (w/o BP, w/o DP)",Avers,32,CR,68 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,26 мм,16 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 95_60-CR,Замок врезной Apecs 95/60-CR,Apecs,95/60,CR,40 мм,,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs T-0523-C-G-R,Замок врезной Apecs T-0523-C-G-R,Apecs,0523,G,60 мм,80 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,24 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 7300-30-R-NIS,Замок врезной Apecs 7300-30-R-NIS,Apecs,7300,NI,30 мм,,Пакет,Двери из алюминиевого профиля,Лицевая планка,Классический/Прямоугольный,,15 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 2223_60-AB,Замок врезной Apecs 2223/60-AB,Apecs,2223/60,AB,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1527_60-G_GM,Замок врезной Apecs 1527/60-G/GM,Apecs,1527/60,G,45 мм,70 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Avers 0823_60-C-NI,Замок врезной Avers 0823/60-C-NI,Avers,0823/60,NI,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Avers 1023_60-G,Замок врезной Avers 1023/60-G,Avers,1023/60,G,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной Apecs 1425-CR,Замок врезной Apecs 1425-CR,Apecs,1425,CR,55 мм,58.5 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1023_60-AC,Замок врезной Apecs 1023/60-AC,Apecs,1023/60,AC,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Avers 0823_60-AC,Замок врезной Avers 0823/60-AC,Avers,0823/60,AC,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Avers 2223_70-CR,Замок врезной Avers 2223/70-CR,Avers,2223/70,CR,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,35/35 мм,ЦАМ
Замок врезной Apecs 94-H_60-CR,Замок врезной Apecs 94-H/60-CR,Apecs,94,CR,40 мм,,Коробка,Общее,Лицевая планка,Противоотжимный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной противопожарный Avers 2000-ZN,Замок врезной противопожарный Avers 2000-ZN,Avers,2000,,65 мм,72 мм,Пакет,Противопожарный,Винты,Классический/Прямоугольный,,14 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 99-K-G,Замок врезной Apecs 99-K-G,Apecs,99,G,50 мм,,Коробка,Общее,Лицевая планка,Цилиндрические,4,28.5 мм,12 мм,Цилиндровый,,,,,
Замок врезной Apecs 1323_60-AC,Замок врезной Apecs 1323/60-AC,Apecs,1323/60,AC,40 мм,80 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Avers 1223_60-G,Замок врезной Avers 1223/60-G,Avers,1223/60,G,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
"Замок врезной Avers T-42-CR (w_o BP, w_o DP)","Замок врезной Avers T-42-CR (w/o BP, w/o DP)",Avers,42,CR,60 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,26 мм,14 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 2600-G,Замок врезной Apecs 2600-G,Apecs,2600,G,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1023_60-AB,Замок врезной Apecs 1023/60-AB,Apecs,1023/60,AB,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной сувальдный Avers ЗВ9-4-1-4 (медь),Замок врезной сувальдный Avers ЗВ9-4-1-4 (медь),Avers,9,,55 мм,55 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,23 мм,12 мм,Сувальдный с двойной бородкой,,3 шт,,,
Замок врезной Apecs 29-R-CR,Замок врезной Apecs 29-R-CR,Apecs,29,CR,20 мм,,Коробка,Узкопрофильные двери,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной противопожарный Apecs 1900-INOX-BLM,Замок врезной противопожарный Apecs 1900-INOX-BLM,Apecs,1900,,65 мм,72 мм,Пакет,Противопожарный,Лицевая планка,Классический/Прямоугольный,,21 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной противопожарный Apecs 8300-INOX-BLM ,Замок врезной противопожарный Apecs 8300-INOX-BLM (B2B),Apecs,8300,,55 мм,72 мм,Пакет,Противопожарный,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1526_60-CR,Замок врезной Apecs 1526/60-CR,Apecs,1526/60,CR,45 мм,70 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 2210_60-CR,Замок врезной Apecs 2210/60-CR,Apecs,2210/60,CR,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 7000-35-NI,Замок врезной Apecs 7000-35-NI,Apecs,7000,NI,35 мм,92 мм,Пакет,Двери из ПВХ профиля,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers ЗВ4-1-8 (серебро),Замок врезной Avers ЗВ4-1-8 (серебро),Avers,4,,55 мм,55 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,23 мм,12 мм,Цилиндровый,Английский,4 шт,Комплектуется,35/35 мм,ЦАМ
Замок врезной сувальдный Avers ЗВ9-4-1-4 (серебро),Замок врезной сувальдный Avers ЗВ9-4-1-4 (серебро),Avers,9,,55 мм,55 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,23 мм,12 мм,Сувальдный с двойной бородкой,,3 шт,,,
Замок врезной противопожарный Avers 2000-ZN (B2B),Замок врезной противопожарный Avers 2000-ZN (B2B),Avers,2000,,65 мм,72 мм,Пакет,Противопожарный,Винты,Классический/Прямоугольный,,14 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 7000-25-R-NI,Замок врезной Apecs 7000-25-R-NI,Apecs,7000,NI,25 мм,,Пакет,Узкопрофильные двери,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1227_60-NI_NIS,Замок врезной Apecs 1227/60-NI/NIS,Apecs,1227/60,NI,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs T-0523-C-CR-R,Замок врезной Apecs T-0523-C-CR-R,Apecs,0523,CR,60 мм,80 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,24 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers ЗВ4-1-8 (медь),Замок врезной Avers ЗВ4-1-8 (медь),Avers,4,,55 мм,55 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,23 мм,12 мм,Цилиндровый,Английский,4 шт,Комплектуется,35/35 мм,ЦАМ
Замок врезной Apecs 2227_60-AB,Замок врезной Apecs 2227/60-AB,Apecs,2227/60,AB,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
"Замок врезной Apecs T-52-NIS (w_o BP, w_o DP)","Замок врезной Apecs T-52-NIS (w/o BP, w/o DP)",Apecs,52,NI,60 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,24 мм,16 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1823-AB,Замок врезной Apecs 1823-AB,Apecs,1823,AB,55 мм,72 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 2223_70-AB,Замок врезной Avers 2223/70-AB,Avers,2223/70,AB,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,35/35 мм,ЦАМ
Замок врезной Apecs 7600-25-NI,Замок врезной Apecs 7600-25-NI,Apecs,7600,NI,25 мм,85 мм,Пакет,Двери из алюминиевого профиля,Лицевая планка,Падающий,,23 мм,,Цилиндровый,,,Не комплектуется,,
"Замок врезной сувальдный Avers R11_S6-CR (3 keys, ","Замок врезной сувальдный Avers R11/S6-CR (3 keys, shank 50mm)",Avers,11/,CR,50.5 мм,,Пакет,Общее,Лицевая планка,Цилиндрические,2,20 мм,10.5 мм,Сувальдный с двойной бородкой,,3 шт,,,
Замок врезной Apecs 6000-WC_S-CR,Замок врезной Apecs 6000-WC/S-CR,Apecs,6000,CR,45 мм,72 мм,Пакет,Межкомнатные двери с четвертью,Саморезы,Классический/Прямоугольный,,15 мм,,Сувальдный,,1 шт,,,
Замок врезной Apecs 1223_60-G,Замок врезной Apecs 1223/60-G,Apecs,1223/60,G,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
"Замок врезной сувальдный Avers T-47_S6-CR (w_o BP,","Замок врезной сувальдный Avers T-47/S6-CR (w/o BP, w/o DP, 4 keys, shank 60mm)",Avers,47/,CR,60 мм,,Коробка,Общее,Лицевая планка,Цилиндрические,3,26 мм,14 мм,Сувальдный с двойной бородкой,,4 шт,,,
Замок врезной Apecs 1623-AB,Замок врезной Apecs 1623-AB,Apecs,1623,AB,55 мм,55 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 0827_60-NI,Замок врезной Avers 0827/60-NI,Avers,0827/60,NI,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Apecs 1423-CR,Замок врезной Apecs 1423-CR,Apecs,1423,CR,55 мм,58.5 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 90-K-G,Замок врезной Apecs 90-K-G,Apecs,90,G,45 мм,,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,23 мм,,Цилиндровый,,5 шт,,,
"Замок врезной сувальдный Avers T-37_S6-CR (w_o BP,","Замок врезной сувальдный Avers T-37/S6-CR (w/o BP, w/o DP, 5 keys, shank 75mm)",Avers,37/,CR,68 мм,,Коробка,Общее,Лицевая планка,Цилиндрические,3,26 мм,16 мм,Сувальдный с двойной бородкой,,5 шт,,,
