vendor_code,name,brand,series,color,backset,center_distance,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material,mounting_type,purpose,package_type
Замок врезной Apecs 7300-20-NIS,Замок врезной Apecs 7300-20-NIS,Apecs,7300,NI,20.0,85.0,,15,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
Замок врезной Apecs 7000-35-R-NI,Замок врезной Apecs 7000-35-R-NI,Apecs,7000,NI,35.0,0.0,,25,,cylindrical,,,not included,,,faceplate,PVC profile doors,pack
Замок врезной Apecs 1226_60-G,Замок врезной Apecs 1226/60-G,Apecs,1226/60,G,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной противопожарный Avers 2002-ZN (B2B),Замок врезной противопожарный Avers 2002-ZN (B2B),Avers,2002,,65.0,72.0,,14,,cylindrical,,,not included,,,bolts,fireproof,pack
Замок врезной Apecs 7000-40-NI,Замок врезной Apecs 7000-40-NI,Apecs,7000,NI,40.0,92.0,,20,,cylindrical,,,not included,,,faceplate,PVC profile doors,pack
"Замок врезной сувальдный Avers T-37_S6-CR (w_o BP,","Замок врезной сувальдный Avers T-37/S6-CR (w/o BP, w/o DP, 5 keys, shank 60mm)",Avers,37/,CR,68.0,0.0,3,26,16,sdeadbolt with double bit,,5,,,,faceplate,general,box
Замок врезной Avers 0823_60-NI,Замок врезной Avers 0823/60-NI,Avers,0823/60,NI,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Avers 2226_70-CR_NIS,Замок врезной Avers 2226/70-CR/NIS,Avers,2226/70,CR,45.0,85.0,3,20,12,cylindrical,flat key,5,included,35/35,ZAMAK,faceplate,general,box
Замок врезной Avers 0827_60-C-AB,Замок врезной Avers 0827/60-C-AB,Avers,0827/60,AB,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной противопожарный Apecs 1900-ZN,Замок врезной противопожарный Apecs 1900-ZN,Apecs,1900,,65.0,72.0,,21,,cylindrical,,,not included,,,bolts,fireproof,pack
Замок врезной Avers 0827_60-AB,Замок врезной Avers 0827/60-AB,Avers,0827/60,AB,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Apecs 6000-WC_S-G,Замок врезной Apecs 6000-WC/S-G,Apecs,6000,G,45.0,72.0,,15,,sdeadbolt,,1,,,,screws,interior doors with notch,pack
