vendor_code,name,brand,series,color,backset,center_distance,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material,mounting_type,purpose,package_type
Замок врезной Apecs 7000-35-NI,Замок врезной Apecs 7000-35-NI,Apecs,7000,NI,35.0,92.0,,20,,cylindrical,,,not included,,,faceplate,PVC profile doors,pack
Замок врезной Avers ЗВ4-1-8 (серебро),Замок врезной Avers ЗВ4-1-8 (серебро),Avers,4,,55.0,55.0,3,23,12,cylindrical,flat key,4,included,35/35,ZAMAK,faceplate,general,box
Замок врезной сувальдный Avers ЗВ9-4-1-4 (серебро),Замок врезной сувальдный Avers ЗВ9-4-1-4 (серебро),Avers,9,,55.0,55.0,3,23,12,sdeadbolt with double bit,,3,,,,faceplate,general,box
Замок врезной противопожарный Avers 2000-ZN (B2B),Замок врезной противопожарный Avers 2000-ZN (B2B),Avers,2000,,65.0,72.0,,14,,cylindrical,,,not included,,,bolts,fireproof,pack
Замок врезной Apecs 7000-25-R-NI,Замок врезной Apecs 7000-25-R-NI,Apecs,7000,NI,25.0,0.0,,20,,cylindrical,,,not included,,,faceplate,Узкопрофильные двери,pack
Замок врезной Apecs 1227_60-NI_NIS,Замок врезной Apecs 1227/60-NI/NIS,Apecs,1227/60,NI,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs T-0523-C-CR-R,Замок врезной Apecs T-0523-C-CR-R,Apecs,0523,CR,60.0,80.0,3,24,18,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Avers ЗВ4-1-8 (медь),Замок врезной Avers ЗВ4-1-8 (медь),Avers,4,,55.0,55.0,3,23,12,cylindrical,flat key,4,included,35/35,ZAMAK,faceplate,general,box
Замок врезной Apecs 2227_60-AB,Замок врезной Apecs 2227/60-AB,Apecs,2227/60,AB,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
"Замок врезной Apecs T-52-NIS (w_o BP, w_o DP)","Замок врезной Apecs T-52-NIS (w/o BP, w/o DP)",Apecs,52,NI,60.0,85.0,3,24,16,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 1823-AB,Замок врезной Apecs 1823-AB,Apecs,1823,AB,55.0,72.0,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Avers 2223_70-AB,Замок врезной Avers 2223/70-AB,Avers,2223/70,AB,45.0,85.0,3,20,12,cylindrical,flat key,5,included,35/35,ZAMAK,faceplate,general,box
Замок врезной Apecs 7600-25-NI,Замок врезной Apecs 7600-25-NI,Apecs,7600,NI,25.0,85.0,,23,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
"Замок врезной сувальдный Avers R11_S6-CR (3 keys, ","Замок врезной сувальдный Avers R11/S6-CR (3 keys, shank 50mm)",Avers,11/,CR,50.5,0.0,2,20,10.5,sdeadbolt with double bit,,3,,,,faceplate,general,pack
Замок врезной Apecs 6000-WC_S-CR,Замок врезной Apecs 6000-WC/S-CR,Apecs,6000,CR,45.0,72.0,,15,,sdeadbolt,,1,,,,screws,interior doors with notch,pack
Замок врезной Apecs 1223_60-G,Замок врезной Apecs 1223/60-G,Apecs,1223/60,G,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
"Замок врезной сувальдный Avers T-47_S6-CR (w_o BP,","Замок врезной сувальдный Avers T-47/S6-CR (w/o BP, w/o DP, 4 keys, shank 60mm)",Avers,47/,CR,60.0,0.0,3,26,14,sdeadbolt with double bit,,4,,,,faceplate,general,box
Замок врезной Apecs 1623-AB,Замок врезной Apecs 1623-AB,Apecs,1623,AB,55.0,55.0,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Avers 0827_60-NI,Замок врезной Avers 0827/60-NI,Avers,0827/60,NI,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Apecs 1423-CR,Замок врезной Apecs 1423-CR,Apecs,1423,CR,55.0,58.5,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 90-K-G,Замок врезной Apecs 90-K-G,Apecs,90,G,45.0,0.0,,23,,cylindrical,,5,,,,faceplate,general,box
"Замок врезной сувальдный Avers T-37_S6-CR (w_o BP,","Замок врезной сувальдный Avers T-37/S6-CR (w/o BP, w/o DP, 5 keys, shank 75mm)",Avers,37/,CR,68.0,0.0,3,26,16,sdeadbolt with double bit,,5,,,,faceplate,general,box
"Замок врезной сувальдный Avers R13_S6-CR (5 keys, ","Замок врезной сувальдный Avers R13/S6-CR (5 keys, shank 45mm)",Avers,13/,CR,54.0,0.0,3,21,12,sdeadbolt with double bit,,5,,,,faceplate,general,pack
Замок врезной Apecs 7300-35-NIS,Замок врезной Apecs 7300-35-NIS,Apecs,7300,NI,35.0,85.0,,15,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
Замок врезной Apecs 1027_60-AB,Замок врезной Apecs 1027/60-AB,Apecs,1027/60,AB,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1330_60-G,Замок врезной Apecs 1330/60-G,Apecs,1330/60,G,40.0,80.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Avers 1023_60-AB,Замок врезной Avers 1023/60-AB,Avers,1023/60,AB,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной Apecs 2210_60-G,Замок врезной Apecs 2210/60-G,Apecs,2210/60,G,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Avers T-0523-C-AB-L,Замок врезной Avers T-0523-C-AB-L,Avers,0523,AB,60.0,80.0,3,25,18,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 2200_60-G,Замок врезной Apecs 2200/60-G,Apecs,2200/60,G,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 7000-30-R-NI,Замок врезной Apecs 7000-30-R-NI,Apecs,7000,NI,30.0,0.0,,20,,cylindrical,,,not included,,,faceplate,PVC profile doors,pack
Замок врезной Apecs 1526_60-G,Замок врезной Apecs 1526/60-G,Apecs,1526/60,G,45.0,70.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 7300-30-NIS,Замок врезной Apecs 7300-30-NIS,Apecs,7300,NI,30.0,85.0,,15,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
Замок врезной Avers 0827_60-G,Замок врезной Avers 0827/60-G,Avers,0827/60,G,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Apecs 91_60-G,Замок врезной Apecs 91/60-G,Apecs,91/60,G,50.0,0.0,3,30,14,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 2223_60-AC,Замок врезной Apecs 2223/60-AC,Apecs,2223/60,AC,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Avers 0827_60-C-G,Замок врезной Avers 0827/60-C-G,Avers,0827/60,G,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Apecs 1000_60-CR,Замок врезной Apecs 1000/60-CR,Apecs,1000/60,CR,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Avers 1523_60-AB,Замок врезной Avers 1523/60-AB,Avers,1523/60,AB,45.0,70.0,3,20,12,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной Apecs 1323_60-G,Замок врезной Apecs 1323/60-G,Apecs,1323/60,G,40.0,80.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1823-NIS,Замок врезной Apecs 1823-NIS,Apecs,1823,NI,55.0,72.0,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 1027_60-G_GM,Замок врезной Apecs 1027/60-G/GM,Apecs,1027/60,G,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1023_60-CR,Замок врезной Apecs 1023/60-CR,Apecs,1023/60,CR,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
"Замок врезной сувальдный Avers R34_S6-CR (5 keys, ","Замок врезной сувальдный Avers R34/S6-CR (5 keys, shank 50mm)",Avers,34/,CR,78.5,0.0,3,22,14,sdeadbolt with double bit,,5,,,,faceplate,general,pack
